id,"name",lat,lng
1,"Acente 1",40.961398,29.113676199999986
2,"Acente 2",41.01941178091892,28.88940127141109
3,"Acente 3",41.0176583,29.108531399999947
4,"Acente 4",40.97947617192243,29.10742098499452
5,"Acente 5",40.9424565,29.13761039999997
6,"Acente 6",41.0268241,29.18848520000006
7,"Acente 7",40.91145475347055,29.194469961376967
8,"Acente 8",41.0375516,28.85881949999998
9,"Acente 9",41.0605881,28.97045950000006
10,"Acente 10",38.366171,26.704399999999964
11,"Acente 11",36.9882459,35.32399090000001
12,"Acente 12",41.00094849999999,28.834295399999974
13,"Acente 13",40.867819,29.299323800000025
14,"Acente 14",38.73693949999999,34.60958549999998
15,"Acente 15",40.219928299665284,29.007082881350698
16,"Acente 16",36.8659669,30.635808999999995
17,"Acente 17",41.03363929999999,29.056579400000032
18,"Acente 18",41.026453946858695,29.03961130622099
19,"Acente 19",37.0368093184213,27.433694277801578
20,"Acente 20",36.80117850000001,34.62877630000003
21,"Acente 21",38.7187296,35.48675090000006
22,"Acente 22",41.0227165,28.941827800000056
23,"Acente 23",40.7764794,29.39326219999998
24,"Acente 24",39.4177085,29.98574199999996
25,"Acente 25",36.99821129999999,35.3208846
26,"Acente 26",41.1181077,29.00710879999997
27,"Acente 27",40.980141,29.082269999999994
28,"Acente 28",40.9830098,29.062584300000026
29,"Acente 29",38.3782116,34.02724290000003
30,"Acente 30",37.037747213953146,37.3295314434082
31,"Acente 31",39.8466817304412,33.50515433657233
32,"Acente 32",40.88509260000001,29.227719699999966
33,"Acente 33",40.19175544564068,29.208519414819307
34,"Acente 34",36.72621700000001,27.685843999999975
35,"Acente 35",40.79612099999999,29.43099140000004
36,"Acente 36",37.312903,40.733950999999934
37,"Acente 37",41.00865888586848,29.11259319259034
38,"Acente 38",37.9198252,40.1349745
39,"Acente 39",39.9668245,32.63625360000003
40,"Acente 40",40.9206564,29.153601499999922
41,"Acente 41",41.03444,29.11161000000004
42,"Acente 42",39.8116901,35.18762770000001
43,"Acente 43",41.0541662,28.868491500000005
44,"Acente 44",40.9896128,29.032031500000016
45,"Acente 45",38.49826334574405,27.707622091926623
46,"Acente 46",36.85649069999999,28.278242699999964
47,"Acente 47",39.058336,30.10836500000005
48,"Acente 48",36.8121041,34.641481099999964
49,"Acente 49",38.36384796612122,34.00901420373032
50,"Acente 50",39.89726519999999,32.848980799999936
51,"Acente 51",39.963029,32.804529
52,"Acente 52",40.7825804,30.404838700000028
53,"Acente 53",40.2101402,28.997397200000023
54,"Acente 54",40.39640713150334,35.523893325683616
55,"Acente 55",36.7939404,34.61566560000006
56,"Acente 56",37.0721011,36.248168899999996
57,"Acente 57",41.0528495,39.2296192
58,"Acente 58",40.65638988625755,35.8374328306885
59,"Acente 59",41.09555031678538,30.690725116918884
60,"Acente 60",41.0216806,29.1175925
61,"Acente 61",41.1243519,42.06768009999996
62,"Acente 62",37.03682309609557,35.30337392637739
63,"Acente 63",39.35000000000001,36.39999999999998
